Scientific_name,Count
Carya illinoinensis,916
Ulmus crassifolia,831
Quercus virginiana,790
Lagerstroemia indica,609
Quercus fusiformis,590
Quercus shumardii,485
Ulmus americana,232
Taxodium distichum,164
Celtis laevigata,163
Fraxinus texensis,112
Ulmus parvifolia,107
Sophora secundiflora,106
Ilex vomitoria,66
Pyrus calleryana,62
Cercis canadensis,56
Melia azedarach,53
Ligustrum lucidum,36
Acer grandidentatum,35
Platanus occidentalis,31
Quercus polymorpha,27
Triadica sebifera,25
Pistacia chinensis,23
Quercus muehlenbergii,22
Morus alba,20
Prunus caroliniana,20
Quercus macrocarpa,20
Fraxinus berlandieriana,17
Washingtonia robusta,16
Platanus mexicana,15
Quercus stellata,14
Punica granatum,13
Ailanthus altissima,13
Trachycarpus fortunei,13
Ligustrum japonicum,13
Vitex agnus-castus,13
Juniperus ashei,13
Quercus buckleyi,12
Sideroxylon lanuginosum,11
Condalia hookeri,10
Prosopis glandulosa,9
Eriobotrya japonica,9
Cupressus sempervirens,9
Sabal mexicana,9
Quercus durandii,9
Liquidambar styraciflua,7
Callistemon viminalis,7
Diospyros texana,7
Ilex decidua,6
Magnolia grandiflora,6
Butia capitata,6
Rhus lanceolata,6
Sabal palmetto,5
Ilex cornuta,5
Parkinsonia aculeata,5
Bauhinia lunarioides,5
Chilopsis linearis,5
Pinus pinea,5
Hibiscus syriacus,4
Washingtonia filifera,4
Rhaphiolepis,4
Photinia serrulata,4
Catalpa speciosa,3
Morus rubra,3
Prunus mexicana,3
Carpinus caroliniana,2
Citrus sinensis,2
Brahea edulis,2
Prunus cerasifera,2
Diospyros kaki,2
Quercus rubra,2
Prunus persica,2
Pinus eldarica,2
Ficus carica,2
Prunus domestica,2
Fraxinus velutina,2
Koelreuteria elegans,2
Albizia julibrissin,2
Acacia stenophylla,2
Phoenix canariensis,2
Juniperus virginiana,2
Cordia boissieri,1
Maclura pomifera,1
Quercus canbyi,1
Salix nigra,1
Sapindus drummondii,1
Diospyros virginiana,1
Firmiana simplex,1
Yucca rostrata,1
Platycladus orientalis,1
Pyracantha coccinea,1
Leucaena leucocephala,1
Myrica cerifera,1
Chamaerops humilis,1
Podocarpus macrophyllus,1
Pyrus communis,1
Koelreuteria paniculata,1
Robinia pseudoacacia,1
Quercus suber,1
Citrus paradisi,1
Pittosporum tobira,1
Quercus glaucoides,1
Prosopis alba,1
Acacia smallii,1
Ginkgo biloba,1
